source,asset,price,date,runAt
rskOracle,BTC,37166.35,2021-01-19T13:54:26.230Z,2021-01-19T15:12:24.868Z
mocOracle,BTC,36888.0,unknown,2021-01-19T15:12:24.868Z
mocOracle,RIF,0.195282489600000008,unknown,2021-01-19T15:12:24.868Z
binanace,BTC,36894.17000000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
binanace,RIF,0.19580000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RBTC,36800,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,BTC,36950,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RIF,0.193784,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
kucoin,RBTC-BTC,1.00801001,2021-01-19T15:12:27.021Z,2021-01-19T15:12:24.868Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:12:23.521Z,2021-01-19T15:12:24.868Z
kucoin,BTC,36900.9,2021-01-19T15:12:33.678Z,2021-01-19T15:12:24.868Z
bitfinex,BTC,36976,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bitfinex,RIF,0.19092,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,BTC,36896.84,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,RIF,0.1958,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,BTC,36913.27,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,RIF-BTC,0.00000455,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
huobi,RBTC-BTC,0,2021-01-19T15:12:39.239Z,2021-01-19T15:12:24.868Z
huobi,BTC,,2021-01-19T15:12:40.610Z,2021-01-19T15:12:24.868Z
hitbtc,BTC,36910.67,1970-01-01T00:00:02.021Z,2021-01-19T15:12:24.868Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:12:42.890Z,2021-01-19T15:12:24.868Z
rskOracle,BTC,37166.35,2021-01-19T13:54:26.230Z,2021-01-19T15:12:24.868Z
mocOracle,BTC,36888.0,unknown,2021-01-19T15:12:24.868Z
mocOracle,RIF,0.195282489600000008,unknown,2021-01-19T15:12:24.868Z
binanace,BTC,36894.17000000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
binanace,RIF,0.19580000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RBTC,36800,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,BTC,36950,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RIF,0.193784,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
kucoin,RBTC-BTC,1.00801001,2021-01-19T15:12:27.021Z,2021-01-19T15:12:24.868Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:12:23.521Z,2021-01-19T15:12:24.868Z
kucoin,BTC,36900.9,2021-01-19T15:12:33.678Z,2021-01-19T15:12:24.868Z
bitfinex,BTC,36976,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bitfinex,RIF,0.19092,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,BTC,36896.84,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,RIF,0.1958,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,BTC,36913.27,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,RIF-BTC,0.00000455,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
huobi,RBTC-BTC,0,2021-01-19T15:12:39.239Z,2021-01-19T15:12:24.868Z
huobi,BTC,,2021-01-19T15:12:40.610Z,2021-01-19T15:12:24.868Z
